topics proteins scores signal totalSignal fraction
35 Sfp1 6.88056255751466 1771 8614 0.205595542140701
35 Ada2 1.25463690739941 1195 24470 0.0488353085410707
35 Eaf6 6.96718930853928 841 2841 0.296022527279127
35 Eaf5 4.09681620279353 838 6736 0.124406175771971
35 Ngg1 2.57995132389027 692 8532 0.0811064228785748
35 Spt3 1.28936967228829 618 15833 0.0390324006821196
35 God1 1.40415334772043 420 6028 0.0696748506967485
36 Spt21 13.146075268693 7900 8595 0.91913903432228
36 Spt10 13.1531618695745 2702 2704 0.999260355029586
36 Hpc2 11.6751225925357 2255 5105 0.441723800195886
36 Hir1 13.1274564781356 1498 1784 0.839686098654709
36 Hir2 13.1342604864303 588 633 0.928909952606635
37 Hap3 13.1514917875818 31059 32633 0.951766616615083
37 Yap5 13.1526573743157 8576 8759 0.979107204018724
37 Hap5 12.1827075212031 2987 4508 0.662599822537711
37 Hap2 13.1388352469794 1882 2137 0.880673841834347
38 Met28 13.127942766891 4165 4462 0.93343792021515
38 Azf1 12.6672643637355 2792 4344 0.642725598526704
39 CTDSer2 13.153163437448 86651 86741 0.998962428378737
40 Rlm1 13.1351292606401 9645 10615 0.908619877531795
40 Swi5 12.9851491401891 1841 2218 0.830027051397656
40 Matalpha2 13.1513128266006 1730 1761 0.982396365701306
41 Met4 13.1017573260829 14096 16679 0.845134600395707
41 Met31 13.1090340295507 7726 9278 0.832722569519293
41 Met32 13.1396622038799 2804 3106 0.902768834513844
42 Tfb3 8.62477879754431 78710 173227 0.454374895368505
42 Sub1 13.0877036475682 74275 92282 0.804869855443098
42 Tfg1 4.1624810954294 73685 292557 0.251865448442526
42 Tfa1 4.08166455297896 68657 276437 0.248364003371473
42 Tfb2 4.64579308645436 57554 261608 0.220000917403138
42 Ssl1 1.84925275067755 30972 320050 0.0967723793157319
42 Toa1 2.4774809030512 13036 90553 0.143959890892626
42 Kin28 1.08307191704788 12062 209785 0.0574969611745358
42 Tfb1 1.71531556998498 10122 117279 0.0863070114854322
42 Taf14 4.18440572162643 835 4423 0.188785891928555
43 Gcr1 13.1527179851416 16466 16866 0.976283647575003
45 Pdr1 13.1113710064529 44526 50562 0.88062181084609
45 Pdr3 12.8572005133702 2058 3270 0.629357798165138
45 Cse2 5.49246108842097 1005 6151 0.163388066980979
46 Hos2 13.1515617909835 25654 27085 0.947166328225955
46 Swd1 13.15100165887 24305 25290 0.961051799130091
46 Shg1 13.1523676649767 20649 21266 0.970986551302549
46 Sif2 13.0722492153795 12658 15823 0.799974720343803
46 Rad6 12.8421115346249 9661 14158 0.682370391298206
46 Set3 11.951973476969 8959 17651 0.507563310860574
46 Bre1 11.859720437909 6342 12243 0.518010291595197
46 Swd3 10.5310775207018 4467 9189 0.486124714332354
46 Sdc1 11.4482792134629 4023 8125 0.495138461538462
46 Dbp2 5.97260561950246 3059 13652 0.2240697333724
46 Ctk1 1.9698507514803 2807 21605 0.129923628789632
47 Rpc40 10.0107179863889 81863 151303 0.541053382946802
47 Rpc25 9.63338202403099 44976 87628 0.513260601634181
47 Bdp1 6.43529659547217 34384 103360 0.33266253869969
47 Tfc3 9.84546205429901 30572 75366 0.405647108775841
47 Rpc19 4.55081904657912 10048 50019 0.200883664207601
48 Gln3 13.1267716917927 10358 11559 0.896098278397785
49 Mcm1 13.1527059262509 52157 52820 0.987447936387732
49 Yox1 11.0219946310101 5528 10962 0.504287538770297
49 Ndd1 13.0270526498186 3957 4732 0.836221470836855
49 Fkh2 8.9989852751953 2364 7594 0.311298393468528
50 Yrr1 12.9549570939899 19862 23759 0.835977945199714
51 Urc2 13.1520408512724 10698 11051 0.968057189394625
51 Azf1 2.34458545105477 537 4344 0.123618784530387
52 Gcn4 13.1484199448547 4620 4761 0.970384373030876
52 Rtg3 12.06100849963 1058 1683 0.628639334521687
53 Hst1 13.146469455127 19336 20862 0.926852650752565
53 Sum1 13.15296219381 15834 16102 0.983356104831698
54 Zap1 13.1531614647903 7008 7019 0.998432825188773
54 Caf16 13.0123142946321 753 865 0.870520231213873
55 Ctk2 13.1527050216513 44562 45613 0.976958323285028
55 Ctk1 12.9915897763481 17822 21605 0.824901643138162
55 Dbp2 10.2101464830671 5174 13652 0.378992089071198
55 Bre1 3.40178178975515 1869 12243 0.152658662092624
55 Rad6 2.11409729019401 1658 14158 0.117106936007911
55 Set3 1.97146105281568 1562 17651 0.0884935697694182
55 Sdc1 3.0187659659009 1095 8125 0.134769230769231
56 Swd2 13.1521940257623 11579 11964 0.96782012704781
56 Rds2 13.1524605951991 2162 2189 0.987665600730927
56 Stp4 12.7734518354188 1970 2865 0.68760907504363
57 Med6 13.1259000734713 13264 14465 0.916972001382648
57 Srb4 11.693536435803 5329 10660 0.499906191369606
57 Med4 11.4393269130492 5165 9942 0.519513176423255
57 Nut2 7.62224657029028 1946 8598 0.226331705047686
57 Rgr1 1.54441067305343 1464 21134 0.0692722627046465
57 Snf2 2.07776910835291 690 11970 0.0576441102756892
57 Cse2 3.54998402664733 662 6151 0.107624776459112
57 Rox3 5.94577651943751 641 3374 0.189982216953171
58 Lea1 13.1531609822156 106627 106766 0.998698087406103
58 Prp4 12.6185365304386 19027 24775 0.767991927346115
59 Stb4 13.0570309865153 3169 4165 0.760864345738295
60 Rgt1 12.5855238259554 854 1374 0.621542940320233
60 Net1 12.9926587670464 486 580 0.837931034482759
61 Smc1 13.1531455860767 3645 3656 0.99699124726477
61 Mcd1 13.1514278060787 3642 3708 0.982200647249191
61 Brn1 12.8924239778654 2584 3706 0.697247706422018
61 Smc4 12.397588954641 1922 3680 0.522282608695652
61 Ycs4 10.0789257382413 1826 4431 0.412096592191379
61 Snt2 13.1231036851216 1102 1308 0.842507645259939
61 Ecm5 13.1531581051027 1088 1089 0.999081726354454
61 Irr1 13.1513491277397 1029 1050 0.98
62 Cup9 13.1530542673898 16578 16785 0.987667560321716
63 Sgf11 12.9793112671235 29972 39598 0.756906914490631
63 Sgf73 12.5254456119832 14521 27394 0.530079579469957
63 Spt7 11.6472837459025 10570 24778 0.426588102348858
63 Ada2 11.5849824383087 9883 24470 0.403882304863098
63 Spt3 5.63023965449308 2394 15833 0.15120318322491
63 Esa1 4.71110917971913 1957 14608 0.133967688937568
63 Sfp1 5.6497335408175 1463 8614 0.169839795681449
63 Yng2 2.87107787801195 866 8793 0.0984874331854885
64 Rpb4 13.153136044561 147570 148165 0.995984206796477
64 Rpb3 13.1530786554276 138143 139289 0.991772501776881
65 Gzf3 13.1518222282524 22657 23614 0.959473193868044
65 Gis1 3.51549421537879 913 7278 0.125446551250344
65 Rox1 1.09124245658521 691 15071 0.0458496450136023
66 Swi3 10.5529843333427 17266 39792 0.433906312826699
66 Stp1 13.1432724612579 14446 15860 0.910844892812106
66 Snf6 11.7658712628281 14264 31831 0.448116615877604
66 Swi1 10.1629828257538 11130 28495 0.390594841200211
66 Stp2 12.8855981410974 8152 14635 0.557020840450974
66 Snf11 9.55666577751273 2302 7411 0.310619349615437
66 Sgf73 1.83852588883247 2265 27394 0.0826823391983646
66 Snf2 2.12790832428807 705 11970 0.0588972431077694
66 Arp7 2.60809155206016 441 4689 0.0940499040307102
67 Sir3 13.1531296698199 17361 17459 0.99438684918953
